absorb;впитывать, поглощать
beef;говядина
fiction;вымысел, худ.литература
experience;опыт
type;печатать, набирать текст
smother;задушить
headquarters;штаб-квартира
gross;грубый
integral;составной, неотъемлемый
come off;выйти, получиться
sermon;проповедь
verify;проверить
drum;барабан, барабанить
be keen to;желать, стремиться
breath;дыхание, вздох
snag;коряга
visit;посетить, посещение
cruel;жестокий
virgin;девственница, дева
opaque;непрозрачный
cable;канат, кабель, трос
dial;набирать номер
put out;потушить
reply;ответ, отвечать
salmon;лосось
backpack;рюкзак
dash;тире, чёрточка
practice;практика, практиковать
whole;весь, целый
handsome;красивый
pillow;подушка
chatter;болтать, болтовня
pine;сосна
gospel;евангелие
brink;грань, край
kind;тип, вид
at least;по крайней мере
thereafter;впоследствии
rip;рвать
comprehensive;исчерпывающий, всесторонний
stature;рост
deficient;недостаточный, неполный
antique;старинный
comedian;комик
squeak;пищать, скрипеть
guess;угадывать, догадываться
cap;кепка, шляпа, колпачок
judicial;судебная
numeric;числовой, цифровой
stay up;не ложиться
armor;броня, доспехи
snapshot;снимок
embrace;обхватить, обнять, обхват
brim;край сосуда
do up;привести в порядок
reckless;опрометчивый, безрассудный
conserve;беречь, экономить
knob;ручка
melon;дыня
scatter;разбрасывать, рассеивать
sleek;гладкий, лоснящийся
scrape together;наскрести
whine;ныть, скулить
darling;дорогой/ая
convey;перевозить, передавать
blade;лезвие
slime;слизь
universe;вселенная
stern;суровый, строгий
hurdle;препятствие
mentor;наставник
heal;лечить, заживать
wet;мокрый, мочить
split;расколоться, распасться
extract;извлекать
crank;чудак, фрик
coarse;грубый, крупный, шероховатый
burst;взрыв, всплеск
discourse;речь, рассуждение
let up;прекратиться, стихнуть
outrage;произвол, насилие, поругание
ham;ветчина
fool around;придуриваться
bone;кость
draft;проект, черновик, набросок
back then;тогда
crouch;присесть, припасть к земле
vicious;злобный, жестокий
break out;вспыхнуть, разразиться
take on;соревноваться, столкнуться
fever;лихорадка, жар
float;плыть
kitten;котенок
blizzard;метель, буран
neck;шея
serve;подавать
handwriting;почерк
unbelievable;невероятный
topic;тема, предмет обсуждения
trousers;брюки
perish;погибать
network;сеть
breathe;дышать
resent;огорчаться, возмущаться
regain;восстановить, вернуть себе
subtitle;субтитры или подзаголовок
tool;инструмент
ramble;бродить, блуждать
fortunate;удачный
take over;принять обязанности
go on;продолжаться
figure out;понять, придумать
sympathy;сочуствие
fuck with;дразнить, шутить, злить
straw;солома
triangle;треугольник
huddle;столпиться, скучиться
pride;гордость
freeze;замораживать
previous;предшествующий
feel like;хотеть
graph;график
come up;приближаться
tip;кончик, верхушка
survey;обзор, исследование
anthem;гимн
waver;дрогнуть
consecutive;последующий по времени
suspend;приостановить, подвесить
hospitality;гостеприимство
quarrel;ссора
recent;недавний, последний
yet;пока ещё
mammoth;мамонт
staple;скоба, скрепка
sigh;вздох
vapor;пар
pie;пирог
emperor;император
factory;фабрика, завод
livelihood;средства к существованию
fringe;край, крайний
strike;забастовка
melt;таять, плавить
contend;бороться, соперничать
aftermath;последствие, результат
beneath;ниже, под
edible;съедобный
mall;торговый центр
wheel;колесо
mine;мина
jolly;веселый
hat;шляпа
bump;удар, ударять
coaster;подставка
journey;путешествие
impress;впечатлить
counterpart;аналог, коллега
heed;прислушиваться, учитывать
kit;комплект, набор
glow;сияние, свечение
cage;клетка
by chance;случайно
charge;плата
devise;придумывать, изобретать
scare;пугать
install;устанавливать
pray;молиться
broom;метла, веник
sovereign;суверенный
umbrella;зонтик
negligent;небрежный, халатный
speak up;говорить громче
abrupt;крутой, резкий
trump;козырь
briefcase;портфель
sublime;возвышенный, величественный
past;прошлый, прошедший
depict;изображать, описывать
content;содержимое
triple;тройной
stupid;глупый
temple;висок
point;смысл, суть
recollection;воспоминание
dumb;тупой
tow;буксир или эвакуатор, буксировать
eyebrow;бровь
dagger;кинжал
cringe;съёживаться
resort to;прибегать к
tile;плитка, черепица
proficient;опытный, умелый
pledge;залог, оставлять в залог
put away;посадить в тюрьму
property;собственность
ensue;следовать, вытекать
pass away;умереть
adultery;прелюбодеяние, неверность
profit;польза, извлекать пользу
ignite;воспламеняться
scorn;презирать, презрение
drain;слив, водосток
distress;несчастье, страдание
inherent;свойственный, присущий
inmate;обитатель
scope;пределы, район
damage;вред, повреждать
moss;мох
feather;перо
cave;пещера, полость
glaze;глазурь, глянец
cite;упоминать, цитировать
empower;давать возможность, право
snarl;рычать, огрызаться
relentless;настойчивый, непрекращающийся
mood;настроение
pearl;жемчуг, жемчужина
intermediate;промежуточный
hobble;прихрамывать
usage;применение
union;союз
crossroads;перекрёсток, перепутье
please;радовать
ward;палата, отделение, камера
hose;шланг
slay;умертвить
search;поиски, искать
stale;несвежий
endow;наделять, даровать
take after;быть в
duo;дуэт
discreet;сдержанный
bud;бутон или почка растения
fix;исправить, наладить
site;местоположение
swear;ругаться
excavate;рыть, выкапывать
beat up;побить
oppose;противостоять
gravy;подливка, соус
convenient;удобный
forehead;лоб
ribbon;лента
traitor;изменник
hand in;сдать
felon;преступник, уголовник
startle;испугать
gradual;постепенный
notorious;известный, пресловутый
darn;штопать
associate;общаться, связываться
pillar;столб, опора, колонна
infantry;пехота
tell apart;различать
interim;промежуточный, временный
fireplace;камин
rule;правило
shelter;укрытие, убежище
precede;предшествовать
prudent;разумный, осторожный
come to;очнуться
complicate;усложнять
sound;здоровый
cling;цепляться
eat up;съесть полностью
weed;сорняк, пропалывать
pole;полюс
sight;вид, поле зрения
estimate;примерно оценивать
foremost;передовой, первоочередной
sock;носок
wander;бродить, блуждать
kindergarten;детский сад
cape;мыс
squad;команда, отряд
knock down;снести, сбить
checkup;медосмотр
squirt;тонкая струя
heave;вздыматься
entice;соблазнять
soccer;футбол
endanger;подвергать опасности
promise;обещать, обещание
hawk;ястреб
kick back;расслабиться
layer;слой
colon;двоеточие
break;перерыв, перемена
downturn;спад
tissue;ткань
hay;сено
navy;военно-морской флот
pause;приостанавливать
proponent;сторонник, поборник
signature;подпись
inside out;наизнанку
rebel;восставать
soon;скоро или рано
inhabit;населять, обитать в
decline;отказаться, отклонить
soar;парить, взмывать
dead end;тупик
glint;вспыхнуть, сверкнуть
crash;горохот, крушение, разбивать
mourn;скорбеть, носить траур
corrupt;развращать, разлагать
railway;железная дорога
realize;понимать
murder;убийство, убивать
let smb in;впустить
pad;подушечка пальца, лапы
sign;подпись, подписывать
missing;пропавший, отсутствующий
put through;подвергнуть
somewhat;слегка
violent;яростный, жестокий
faith;вера
tack;канцелярская кнопка, гвоздик
trust;доверять
get down;приступить
train;поезд
multiply;умножать или размножаться
skull;череп
humble;скромный, смиренный
foresee;предвидеть
unit;единица, элемент
hangover;похмелье
pour;лить
ape;обезьяна
loan;заём, ссуда
alike;подобно
harm;вред, вредить
linen;льняная ткань
redeem;выкупить, искупить
hire;нанимать
deliberate;обдуманный, преднамеренный
accessory;принадлежность, аксессуар
scar;шрам
divorce;развод, разводиться
knock together;слепить, соорудить
extend;расширять, удлиннять
itch;зуд
horrify;ужасать
cramp;судорога
grope;щупать, искать вслепую
several;несколько
sneak;красться
chairman;председатель
harp;арфа
waive;отказаться, воздержаться от
tart;пирог, обычно фруктовый
hit;ударить, удар
lessen;уменьшать
taunt;насмехаться, насмешка
stable;устойчивый
muscle;мышца
nudge;подталкивать
ghost;привидение
payment;оплата
memories;воспоминания
sulfur;сера
gain;получать, выигрывать
outline;контур, очертание, очертить
worry;волновать
rejoice;радоваться
portable;портативный, переносной
sanctuary;убежище или заповедник
direct;направление
slipper;тапок
poke;совать, тыкать
troop;отряд
masterpiece;шедевр
refund;возврат, возмещение
jet;струя
flair;чутьё, талант
remains;остатки, останки
akin;похожий
sane;здравый, вменяемый
someday;когда-нибудь
keep up;успевать за чем-либо
rodent;грызун
airline;авиалиния
allude;намекать, указывать
go down;быть принятым
peculiar;своеобразный, особый
dash;бросать, бросаться
oil;нефть
attorney;адвокат, прокурор, поверенный
strap;ремень
trek;поход, переход
capital;главный, большой, высший
cram;втискивать, впихивать
respond;отвечать
crude;сырой, грубый, необработанный
errand;поручение
constrain;ограничивать
flutter;трепетать, развеваться, порхать
grease;смазка, жир
cavity;полость, впадина
cancer;рак
anytime;в любой момент
gamble;азартная игра, играть
absent;отсутствующий
dwarf;карлик, гном
sensation;ощущение
allow for;выделять, рассчитывать
fist;кулак
leg;нога
slick;скользкий
rustle;шелест
satisfy;удовлетворять
breast;грудь
lust;вожделение, страсть
ward off;предотвратить, отогнать
bounds;границы, рамки
put up with;принимать, мириться
wealth;богатство
puppet;кукла, марионетка
clear up;прояснить
seal;печать, запечатывать
width;ширина
misery;несчастье, страдание
discard;отбросить, отказаться
tend;ухаживать
odds;шансы
variety;разнообразие, множество
fall over;упасть, перевернуться
walnut;грецкий орех
porter;носильщик или порьте
bullet;пуля
cradle;колыбель
flock;стадо, стая
blush;румянец, краснеть
compel;вынуждать, заставлять
incorporate;вобрать, соединить
cheat on;изменять
pardon;извинять, извинение
redundant;избыточный
novel;роман
lip;губа
adversary;противник, соперник
sweep;размах, охват
dozen;дюжина
rough;грубый, неровный, жёсткий
prescribe;предписывать
belt;пояс
strait;пролив
core;ядро, сердцевина, сущность
misery;нищета
pill;пилюля
note;заметка, запись
wire;проволока, провод
inject;впрыскивать, вкачивать
oppress;угнетать, притеснять
seam;шов
declare;объявлять
dot;точка
skill;умение, искусство
abate;уменьшаться, ослабевать
muzzle;морда или намордник
fly;муха
oblige;обязывать
marry;жениться, выйти замуж
binge;кутёж, загул, пьянка
sick;больной, плохо чувствующий
eloquent;красноречивый, выразительный
rogue;жулик, проходимец
expertise;опыт, компетенция
pastime;времяпрепровождение
prominent;выдающийся, видный
coconut;кокос
build on;нарастить, развить
crack;трескаться, трещина
glass;стекло или стакан
residue;остаток
report;доклад, отчёт
nuts;чокнутый
lend;давать в долг
benefit;польза, создавать пользу
quilt;одеяло
aunt;тётя
stamp;печать, штамп, марка
augment;увеличить, нарастить
curve;изгибать, кривая
justice;правосудие, справедливость
capable;способный к чему-либо
mill;мельница или фабрика
detriment;ущерб, вред
bite;кусать, укус
hostage;заложник
kick around;обсудить
revenue;доход, выручка
sponge;губка
species;вид
lock;замок, запирать
jog;бегать трусцой
enlarge;увеличить, расширить
faction;группировка, фракция
garden;сад
envelope;конверт
tablet;плитка, пластина
steady;устойчивый
glare;яркий свет, ослеплять
settle;уладить
policy;политика, курс
superficial;поверхностный
rather;скорее, предпочтительнее
smell;запах, пахнуть, нюхать
beverage;напиток
donkey;осел
court;двор
anxious;озабоченный, встревоженный
draw up;составить
roam;бродить, блуждать
orphan;сирота
astound;изумлять
listen in on;подслушивать
take up;заняться чем-либо
measure;измерять, измерение
leave behind;оставить, забыть
solution;решение, ответ
handy;удобный
dress up;нарядиться
bum;бомж или бездельник
maple;клён
scaffold;помост
crew;команда, экипаж
bonfire;костер
carpet;ковер
marine;морской
atrocity;зверство, злодеяние
ramp;скат, съезд
bargain;сделка, торговаться
enrich;обогащать
scales;весы
laugh;смеяться
riddle;загадка
pick out;выбрать или выделить из
layout;макет, расположение
twin;близнец
blow;удар
hero;герой
example;пример
commitment;обязательство
expel;высылать, изгонять
bang;удар, взрыв
ashtray;пепельница
piece;предмет, часть, кусок
scowl;насупиться, рассердиться
chase;погоня, гнаться
intelligent;умный
belly;живот
crusade;крестовый поход
helmet;шлем
despite;несмотря на
subvert;подорвать
cut down;урезать, уменьшить
hurt;причинять боль
alert;тревога, бдительный
district;район, округ
cup;чашка, кружка, кубок
insult;оскорбление, оскорблять
different;разный, отличающийся
hijack;угонять
flow;поток, течь
image;изображение, образ
celebrity;знаменитость
match;соответствие, нечто соответствующее
deal with;иметь дело с
execute;казнить
combat;бой
once;однажды, когда-либо
erupt;извергаться
except;кроме, исключая
blank;пустой, чистый
lash out;нападать, ругаться
strength;сила, мощность, прочность
bow;поклон, наклоняться
retract;втягивать, брать обратно
spur;шпора, побуждать
tuition;обучение, плата за обучение
dish;блюдо
coil;катушка, моток, наматывать
arbitrary;произвольный
snore;храп, храпеть
reel;катушка, наматывать
sack;мешок
rural;сельский
sob;рыдать, всхлипывать
fall back on;опереться, прибегнуть
resolve;разрешить
incline;наклонять, склонять
flute;флейта
fortune;счастье, удача, судьба
portray;изображать, показывать
quit;бросить, покинуть, перестать
potato;картофель
bellow;реветь, рёв
stand against;противостоять
smirk;ухмылка
court;игровая площадка
sprout;росток, прорастать
serve;служить
detach;отделить, оторвать
hardware;аппаратные средства
laundry;прачечная
forbid;запрещать
warden;смотритель, надзиратель
lush;пышный
fossil;ископаемое
fall for;вестись
thought;мысль
applause;аплодисменты
haze;дымка, туман
turn on;включить
axe;топор
inward;внутрь
doughnut;пончик
bulb;лампа, колба
dwell;обитать, проживать
tap;кран
clothe;одевать, покрывать
blow over;пройти, утихнуть
whore;шлюха
instead;вместо
allegiance;верность
brick;кирпич
mistake;ошибка
ivy;плющ
count;считаться, иметь значение
turkey;индейка, индюк
literal;буквальный
swan;лебедь
inflate;надувать
similar;похожий
bowl;миска
hen;курица
involve;содержать в себе
dissolve;растворять, растворяться
figure;полагать, думать
by far;безусловно
share;разделять
showcase;витрина, демонстрировать
aerial;антенна
courtesy;учтивость, этикет
infuse;вливать, настаивать
petroleum;нефть
procure;достать, добыть, обеспечить
passenger;пассажир
stew;тушить, рагу
retail;розничная продажа
get through;дозвониться
refuse;отказаться
clout;влияние, влиятельность
cheer;аплодировать, радостно встречать
cannon;пушка
tape;лента, записывать на ленту
harsh;резкий, суровый, грубый
coward;трус
renew;возобновлять
dual;парный, двоякий
floor;пол
beat;победить
flush;промывать, смывать
literate;грамотность
break up;разорвать отношения
reach;достичь
liable;подлежащий
retire;уходить в отставку, на пенсию
look out;смотреть
though (even though);хотя
lead up to;предшествовать
show up;прийти, появиться
yield;приносить (доход)
submerge;погружаться под воду
facet;грань
furnish;обставлять, меблировать
foyer;фойе
trumpet;труба
prod;ткнуть
pretty;довольно-таки
salvage;спасти, уберечь от потери
eminent;видный, уважаемый
size up;изучить, оценить
film;снимать кино
ally;союзник
thigh;бедро
blast;взрыв, взрывать
refrain;воздерживаться
mustard;горчица
term;срок, период
crib;раскладушка или дет. кроватка
bump;шишка, выпуклость
feminine;женский
rustic;деревенский, простой, грубый
overseas;за рубежом
infamous;печально известный, постыдный
exhale;выдыхать
ass;жопа
attach;прикрепить, привязать
junction;стык, узел, пересечение
decisive;решающий, решительный
engaged;помолвленный
standpoint;точка зрения
chest;грудь
emphasis;акцент, внимание, ударение
allocate;распределять
fade;увядать, блекнуть
foreman;мастер, бригадир
establish;установить, учредить
alienate;отчуждать, отдалять, отвергать
disappoint;разочаровывать
tight;тугой, тесный
clever;умный
gleam;блеск, отблеск
long ago;давно
slot;разъём, паз, гнездо
tremble;дрожать
get back at;отомстить
customs;таможня
atop;наверху
cheek;щека
perfect;совершенный
whip;кнут, хлестать
marsh;болото
devote;посвятить, уделить
incur;навлечь, повлечь
take away;отнять
discretion;благоразумие, усмотрение
board;совет, коллегия
trunk;чемодан, сундук
stroke;гладить
give a ride;подвезти
click;щёлкать, щелчок
take off;снять
piss off;бесить
pee;писать
conscience;совесть, сознательность
tear;рвать
vote;голосовать
essence;сущность
anchor;якорь, закреплять
pair;пара
fall through;провалиться
monk;монах
try on;примерить
degree;степень
embody;олицетворять
give away;раздавать, дарить
neat;аккуратный, опрятный
used to;когда-то бывало
scrap;обломок, обрывок
dental;зубной, стоматологический
exploit;использовать, эксплуатировать
connect;соединять
timetable;расписание
polish;шлифовать, полировать
acknowledge;признавать, подтверждать
subsidiary;вспомогательный, дополнительный
put off;откладывать
attitude;отношение
salient;выступающий, заметный
hit back;отыграться, отбиться
versatile;универсальный, разносторонний
receipt;получение
wide;широкий, просторный
empire;империя
meditate;обдумывать или созерцать
reciprocal;взаимный, ответный
vomit;рвота, блевать
so far;до сих пор
get lost;пропасть
appraise;оценивать
reserved;скрытный, замкнутый
savage;дикарь, дикий
period;точка
squirm;извиваться, ёрзать
unless;если не
shroud;пелена, окутывать
notch;выемка
broadcast;транслировать, трансляция
repeal;отменить
intestine;кишечник
confer;совещаться
amaze;поражать, изумлять
inside;внутри
revenge;месть
flour;мука
yawn;зевать
tackle;принадлежности, снаряжение
voluntary;добровольный
plain;ровный, равнина
remedy;средство
seem;казаться
come on;включаться
inspire;вдохновить, внушить
acquit;оправдать (в суде)
chunk;кусок
wind up;заканчивать
bewilder;смущать, сбивать с толку
preserve;сохранять, беречь
in charge;во главе
set smb back;задержать
cartoon;мультфильм
shoot;снимать, фотографировать
kidney;почка
snail;улитка
fill in on;посвятить
prophet;пророк
enhance;повысить, усилить, расширить
fat;жир, жирный
query;запрос
lean over;наклониться над, через
acid;кислота
welcome;желанный, приятный
bunch;связка, пучок, группа
puppy;щенок
dine;ужинать
sill;подоконник, порог
receipt;квитанция
prairie;степь, прерия
output;выпуск, выход
betray;предавать
mixture;смесь
excess;избыток, чрезмерный
repair;ремонт, ремонтировать
priest;жрец, священник
nurture;растить, питать
spring (sprang, sprung);источник, проистекать
enormous;огромный
rope;верёвка
contemplate;созерцать или размышлять
amber;янтарь
stick;палка, тыкать палкой
batch;партия, серия, группа
commence;начинать
sustain;поддерживать
take aback;ошеломить
hamper;затруднять, ограничивать
beat (beat, beaten);бить
pest;паразит, вредитель
essential;необходимый
be on fire;гореть
embarrass;смущать, стеснять
busy;занятый
fancy;представлять, полагать
lead;вести
guard;сторожить, стража
explode;взрываться
speed up;ускориться
bell;колокол, колокольчик
whale;кит
breadth;ширина, широта
grand;большой, великий
scrape;скрести
deft;ловкий, проворный
incidence;частотность, распространённость
enrol (enroll);записать (в члены), набрать
seed;семя, сеять
vehicle;транспортное средство
fiddle;скрипка
butt;торец, зад
mindful;внимательный, помнящий
insure;страховать, гарантировать
garment;предмет одежды
collar;воротник или ошейник
thaw;оттепель, оттаивать
plague;чума
weave;плести, ткать
utter;полный, абсолютный
endeavor (endeavour);стремиться, стараться, попытка
mount;гора
commodity;товар, сырьё
cripple;калека, калечить
clear out;убирать, забирать
bring along;взять с собой
accustom;приучить
caress;ласкать, гладить
den;логово, берлога
sail;парус, плыть (о судне)
giggle;хихикать, хихиканье
thug;бандит, головорез
loud;громкий
contaminate;загрязнять
sow (sowed, sown);сеять
hack;рубить, кромсать
bat;летучая мышь
casket;шкатулка или гроб (амер.)
bash;колотить
tomb;надгробие, склеп
relate;относиться, быть связанным
homicide;убийство
tip smb off;предупредить, секретно сообщить
past;мимо
laptop;ноутбук
evaluate;дать оценку
folly;глупость, безумие
turn into;превращать (ся)
crumb;крошка, крупица
thrive;процветать, преуспевать
altitude;высота
creak;скрипеть
plot;сюжет
folk;люди, народ
situate;располагать
affect;воздействовать
corpse;труп
rival;соперничающий, враждебный
civilian;гражданский
wrist;запястье
wool;шерсть, шерстяной
commonplace;обычное дело, банальность
digit;цифра
review;обзор, сделать обзор
hold up;задержать, затормозить
statutory;установленный законом
order;приказ
relative;относительный
peach;персик
equation;уравнение
brace;скоба, распорка, скрепа
struggle;бороться, борьба
counterfeit;подделка, фальшивый
pad;блокнот
suspicious;подозрительный
block;кусок, глыба и т. д.
inch;дюйм
enchant;околдовать, очаровать
plug in;включать
condemn;осуждать
crawl;ползать
surrender;сдаваться, капитулировать
nominate;выдвигать, номинировать
intelligence;разведка
scrutiny;внимательный осмотр, изучение
bath;ванна
mate;товарищ, компаньон
lest;чтобы не, иначе
case;ящик, футляр, чехол
banner;знамя, транспарант
stuffy;душный
counter;противостоять, противоположный
permit;разрешать
nose around;рыскать, вынюхивать
drop out of;бросить (учёбу)
authorize;дать полномочия, поручение
hoof;копыто
van;фургон
robust;крепкий, надёжный, здоровый
mercy;милость, милосердие
male;мужской
clamour;шум, ропот, протесты
revolve;вращаться
gang;банда, шайка
shuffle;перемешивать, тасовать
frank;откровенный
account for;объяснить (произошедшее)
wrench;гаечный ключ
ferry;переправа, паром
peck;клевать
purple;пурпурный, фиолетовый
reason;причина, мотив
pinch;зажать, ущипнуть
wise;мудрый
matter;иметь значение
single;один, отдельный, единый
goat;козел, коза
account;счёт (в банке)
mean (meant, meant);иметь в виду
hit (hit, hit);попасть, достичь
persuade;убеждать
reverse;обратный, обратить
circuit;схема, цепь, контур
merge;соединять, сливать
corner;угол
seasoning;приправа
deem;считать (чем-либо)
rubbish;мусор (в осн. брит.)
authorities;органы власти
compatible;совместимый
move;переезжать
appeal;обращаться, взывать
childhood;детство
occupy;занимать
call back;перезвонить
hesitate;колебаться, медлить
within;в пределах, внутри
stay;остановиться пожить
murky;мутный, тёмный
spare;выделить, уделить
north;север, северный
gem;(полу)драгоценный камень
log;бревно
knight;рыцарь
boat;лодка, судно
behold;созерцать, видеть
forgive (forgave, forgiven);простить
encompass;охватывать, заключать
pope;папа римский
conspicuous;заметный
numb;онемелый, окоченевший
block;квартал
target;цель, мишень
get by;обойтись, протянуть
abuse;насилие, домогательство
mob;толпа (неуправляемая)
ailment;недомогание, болезнь
return;возвращаться
about;примерно
shove;резко толкнуть, пихнуть
enclose;окружать, заключать
award;награда, премия, присуждать
convert;преобразовывать
let in on;посвящать (в секрет, план)
overwhelm;завалить, подавить
casualty;жертва, потери
confront;противостоять, сталкиваться
chill;холод, охлаждать
observe;наблюдать
deceive;обманывать
asleep;спящий
former;первый (из названных)
devour;пожирать
sacrifice;жертва
well-off;обеспеченный
inspect;проверять, осматривать
present;настоящее (время)
aerial;воздушный
exile;ссылка, изгнание
run after;гнаться за
sink (sank, sunk);тонуть, топить
tube;тюбик
neither;тоже не
tramp;бродяга
stock;акции
leaf (pl: leaves);лист
jug;кувшин
refine;очищать, усовершенствовать и т.д.
garbage;мусор (особ. пищевой)
regular;обычный
rationale;основание, обоснование
faculty;дар, способность
forge;ковать
helm;руль, штурвал
pain;боль
remove;убрать, удалить
maternal;материнский
ashamed;пристыженный
stand by;поддерживать, быть наготове
list;список, перечислять
ammunition;боеприпасы
clean up;убрать (мусор)
violet;фиолетовый
niche;ниша
database;база данных
enforce;внедрить, навязать
bleach;отбелить, обесцветить
hold back;сдерживать
famous;знаменитый
shoe;туфля, ботинок (низкий)
request;запрос, запрашивать
occur;случиться
case;случай, дело
mountain;гора, горный
rope in (into);втянуть в занятие
imposing;внушительный, импозантный
devoid;лишенный
abort;прерывать
foundation;фундамент
cooperate;сотрудничать
detention;задержание, арест
magazine;журнал
think over;обдумать
upright;честный
resemble;походить
late;поздний
sheer;отвесный
well-being;благополучие
divert;отвлечь, развлечь
pitch;подавать (мяч)
midnight;полночь
harbor (harbour);гавань, порт
trip;поездка
